n_connections,id.resp_p_std,orig_bytes_mean,orig_bytes_std,orig_bytes_max,resp_bytes_mean,resp_bytes_std,resp_bytes_max,bytes_ratio_mean,bytes_ratio_std,bytes_ratio_max,duration_mean,duration_std,duration_max,duration_zscore_mean,duration_zscore_std,duration_zscore_max,conn_state_encoded_mean,conn_state_encoded_std,conn_state_encoded_max,conn_interval_mean,conn_interval_std,conn_interval_max,time_since_last_conn_mean,time_since_last_conn_std,conn_count_10s_mean,conn_count_10s_std,conn_count_10s_max,conn_count_60s_mean,conn_count_60s_std,conn_count_60s_max,conn_count_300s_mean,conn_count_300s_std,conn_count_300s_max,interval_stddev_mean,interval_stddev_std,interval_stddev_max,burst_score_mean,burst_score_std,burst_score_max,total_conn_from_ip_mean,total_conn_from_ip_std,total_conn_from_ip_max,ja3_frequency_mean,ja3_frequency_std,ja3_frequency_max,ja3_is_known_std,ja3_behavior_score_std,unique_ja3_from_ip_std,is_known_ip_std,ip_first_seen_hours_ago_mean,ip_first_seen_hours_ago_std,ip_first_seen_hours_ago_max,recon_pattern_score_mean,recon_pattern_score_std,recon_pattern_score_max,recent_activity_score_mean,recent_activity_score_std,recent_activity_score_max,recent_docker_event_mean,recent_docker_event_std,recent_docker_event_max,time_since_container_start_mean,time_since_container_start_std,time_since_container_start_max,is_attack
7,0.0,839.2857142857143,86.76541992774595,1034.0,3414.0,2070.4809425187505,7605.0,0.2309675292592738,0.0929752472631756,0.3642127509686509,0.0118188571428571,0.0073058796282759,0.023863,-0.1121383676088787,0.5727018852080755,0.8319920685544726,0.0,0.0,0,0.2918571404048374,0.2137210992090091,0.5333619117736816,0.340499997138977,0.1869132922024571,4.0,2.160246899469287,7,4.0,2.160246899469287,7,4.0,2.160246899469287,7,159.3868351785593,0.0,159.3868351785593,0.8571428571428571,0.3779644730092272,1.0,4.0,2.160246899469287,7,441.0,0.0,441,0.0,0.0,0.0,0.0,0.0002979332492464,0.0002243187027421,0.0005674999952316,0.8428571428571429,0.304724700110022,1.0,0.5714285714285714,0.3086066999241838,1.0,0.0,0.0,0,0.0,0.0,0.0,1
2,0.0,800.0,2.8284271247461903,802.0,5499.5,4575.687981058149,8735.0,0.1723537541263025,0.124818805326526,0.2606139777922926,0.0090435,0.0033043099884847,0.01138,-0.3296963275961104,0.2590221377851604,-0.1465400174907872,0.0,0.0,0,346.4113116264343,489.4389895805819,692.4969401359558,346.4113116264343,489.4389895805819,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,159.3868351785593,0.0,159.3868351785593,0.5,0.7071067811865476,1.0,8.5,0.7071067811865476,9,441.0,0.0,441,0.0,0.0,0.0,0.0,0.1337222040361828,6.397020569084986e-05,0.1337674378024207,0.35,0.4949747468305832,0.7,0.2142857142857142,0.1010152544552211,0.2857142857142857,0.0,0.0,0,0.0,0.0,0.0,1
7,0.0,837.1428571428571,85.407705685589,1029.0,6332.285714285715,4362.650941583023,12578.0,0.1793385881096496,0.1288902253851195,0.363091037402964,0.0107444285714285,0.0055968652790987,0.02191,-0.1963619381693713,0.4387336583249835,0.6788980075077377,0.0,0.0,0,99.21964287757874,261.6107529038638,692.4969401359558,99.21964287757874,261.6107529038638,4.0,2.160246899469287,7,4.0,2.160246899469287,7,4.0,2.160246899469287,7,159.3868351785593,0.0,159.3868351785593,0.8571428571428571,0.3779644730092272,1.0,11.0,2.160246899469287,14,441.0,0.0,441,0.0,0.0,0.0,0.0,0.1339744721518622,0.0002243290117374,0.1342437924941381,0.8142857142857143,0.3760699023168052,1.0,0.5714285714285714,0.3086066999241838,1.0,0.0,0.0,0,0.0,0.0,0.0,1
7,0.0,837.1428571428571,85.407705685589,1029.0,6332.285714285715,4362.650941583023,12578.0,0.1793385881096496,0.1288902253851195,0.363091037402964,0.0107444285714285,0.0055968652790987,0.02191,-0.1963619381693713,0.4387336583249835,0.6788980075077377,0.0,0.0,0,99.21964287757874,261.6107529038638,692.4969401359558,99.21964287757874,261.6107529038638,4.0,2.160246899469287,7,4.0,2.160246899469287,7,4.0,2.160246899469287,7,159.3868351785593,0.0,159.3868351785593,0.8571428571428571,0.3779644730092272,1.0,11.0,2.160246899469287,14,441.0,0.0,441,0.0,0.0,0.0,0.0,0.1339744721518622,0.0002243290117374,0.1342437924941381,0.8142857142857143,0.3760699023168052,1.0,0.5714285714285714,0.3086066999241838,1.0,0.0,0.0,0,0.0,0.0,0.0,1
5,0.0,852.0,99.86991538997115,1029.0,6665.4,4778.010286719777,12578.0,0.1821325217029884,0.1448790882940413,0.363091037402964,0.0114247999999999,0.0064986556071236,0.02191,-0.1430281823986757,0.5094242592108031,0.6788980075077377,0.0,0.0,0,0.342975378036499,0.2077324810050422,0.5284860134124756,0.342975378036499,0.2077324810050422,5.0,1.5811388300841898,7,5.0,1.5811388300841898,7,5.0,1.5811388300841898,7,159.3868351785593,0.0,159.3868351785593,1.0,0.0,1.0,12.0,1.5811388300841898,14,441.0,0.0,441,0.0,0.0,0.0,0.0,0.134075379398134,0.0001729588677249,0.1342437924941381,1.0,0.0,1.0,0.7142857142857142,0.2258769757263128,1.0,0.0,0.0,0,0.0,0.0,0.0,1
5,0.0,847.2,103.91679363798713,1033.0,3743.0,2376.445139278414,7605.0,0.2216534737504572,0.1032457002776477,0.3639887244538407,0.0104625999999999,0.0090366324092551,0.026571,-0.2184542477029093,0.708374169851207,1.044269957604426,0.0,0.0,0,178.63478560447692,398.6106185066094,891.6911199092865,178.63478560447692,398.6106185066094,3.0,1.5811388300841898,5,3.0,1.5811388300841898,5,3.0,1.5811388300841898,5,159.3868351785593,0.0,159.3868351785593,0.8,0.447213595499958,1.0,17.0,1.5811388300841898,19,441.0,0.0,441,0.0,0.0,0.0,0.0,0.2999540892706976,0.0001592951672146,0.3001768314176135,0.74,0.433589667773576,1.0,0.4285714285714285,0.2258769757263128,0.7142857142857143,0.0,0.0,0,0.0,0.0,0.0,1
7,0.0,839.1428571428571,86.39141271258498,1033.0,3416.714285714286,2070.4383363823963,7605.0,0.230811310226623,0.0929826507408229,0.3639887244538407,0.0097845714285714,0.0075316708384692,0.026571,-0.2716043488323083,0.5904014721600206,1.044269957604426,0.0,0.0,0,127.67643969399587,336.8988513729761,891.6911199092865,127.67643969399587,336.8988513729761,4.0,2.160246899469287,7,4.0,2.160246899469287,7,4.0,2.160246899469287,7,159.3868351785593,0.0,159.3868351785593,0.8571428571428571,0.3779644730092272,1.0,18.0,2.160246899469287,21,441.0,0.0,441,0.0,0.0,0.0,0.0,0.3000615470939212,0.0002249400530636,0.3003327063719431,0.8142857142857143,0.3760699023168052,1.0,0.5714285714285714,0.3086066999241838,1.0,0.0,0.0,0,0.0,0.0,0.0,1
7,0.0,839.1428571428571,86.39141271258498,1033.0,3416.714285714286,2070.4383363823963,7605.0,0.230811310226623,0.0929826507408229,0.3639887244538407,0.0097845714285714,0.0075316708384692,0.026571,-0.2716043488323083,0.5904014721600206,1.044269957604426,0.0,0.0,0,127.67643969399587,336.8988513729761,891.6911199092865,127.67643969399587,336.8988513729761,4.0,2.160246899469287,7,4.0,2.160246899469287,7,4.0,2.160246899469287,7,159.3868351785593,0.0,159.3868351785593,0.8571428571428571,0.3779644730092272,1.0,18.0,2.160246899469287,21,441.0,0.0,441,0.0,0.0,0.0,0.0,0.3000615470939212,0.0002249400530636,0.3003327063719431,0.8142857142857143,0.3760699023168052,1.0,0.5714285714285714,0.3086066999241838,1.0,0.0,0.0,0,0.0,0.0,0.0,1
2,0.0,819.0,21.213203435596427,834.0,2601.0,1125.7139956489837,3397.0,0.2537059014170374,0.0881378867075806,0.3160287987874194,0.0080895,0.0023808285322551,0.009773,-0.4044796016558057,0.1866311872293249,-0.2725114235850539,0.0,0.0,0,0.2805749177932738,0.3711871262480497,0.543043851852417,0.2805749177932738,0.3711871262480497,6.5,0.7071067811865476,7,6.5,0.7071067811865476,7,6.5,0.7071067811865476,7,159.3868351785593,0.0,159.3868351785593,1.0,0.0,1.0,20.5,0.7071067811865476,21,441.0,0.0,441,0.0,0.0,0.0,0.0,0.30033019165198,3.5563510773052756e-06,0.3003327063719431,1.0,0.0,1.0,0.9285714285714286,0.1010152544552211,1.0,0.0,0.0,0,0.0,0.0,0.0,1
7,0.0,837.1428571428571,85.407705685589,1029.0,6329.0,4367.020456405794,12578.0,0.1798698332584272,0.1298518645924463,0.3659317211948791,0.008741,0.0032069824861802,0.01441,-0.3534090533854792,0.2513927150614872,0.0909791862837171,0.0,0.0,0,173.19812291009086,457.341041457907,1210.3500454425812,173.19812291009086,457.341041457907,4.0,2.160246899469287,7,4.0,2.160246899469287,7,4.0,2.160246899469287,7,159.3868351785593,0.0,159.3868351785593,0.8571428571428571,0.3779644730092272,1.0,25.0,2.160246899469287,28,441.0,0.0,441,0.0,0.0,0.0,0.0,0.4078176775811211,0.0002238973397185,0.4080865480502446,0.8142857142857143,0.3760699023168052,1.0,0.5714285714285714,0.3086066999241838,1.0,0.0,0.0,0,0.0,0.0,0.0,1
